City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kudahuvadhoo,76,MV,1538345771,100,2.67,72.89,80.63,17.49
srednekolymsk,92,RU,1538345771,94,67.46,153.71,32.66,6.87
upington,24,ZA,1538341200,34,-28.46,21.24,82.4,4.7
bytca,0,SK,1538344800,86,49.22,18.56,42.8,1.12
kutum,100,SD,1538345772,20,14.2,24.66,86.3,9.55
japura,92,ID,1538345772,99,-0.42,102.29,72.17,2.28
san miniato,20,IT,1538344200,59,43.68,10.85,62.6,4.7
hamilton,40,BM,1538340900,69,32.3,-64.78,80.6,20.8
aurangabad,0,IN,1538345773,72,19.87,75.33,73.97,4.74
bograd,0,RU,1538343000,100,54.22,90.86,37.4,2.24
ukiah,75,US,1538340960,35,39.15,-123.21,75.02,9.17
mookane,0,BW,1538345773,51,-23.68,26.66,66.68,14.58
paraiso,75,MX,1538340720,46,24.01,-104.61,73.4,4.7
hastings,12,NZ,1538345774,84,-39.64,176.84,57.95,7.99
dalby,0,AU,1538341200,71,-27.18,151.26,55.4,4.7
buraydah,0,SA,1538341200,22,26.33,43.97,80.6,3.36
les cayes,92,HT,1538345774,100,18.19,-73.75,82.97,14.47
tongren,12,CN,1538345774,85,27.72,109.18,59.03,5.19
porbandar,0,IN,1538345775,82,21.64,69.61,74.33,8.21
mumford,0,GH,1538345775,91,5.26,-0.76,76.13,9.1
aksha,0,RU,1538345775,69,50.28,113.29,39.95,8.66
le port,32,FR,1538345670,100,42.87,1.37,42.65,1.83
hurricane,20,US,1538344560,20,37.18,-113.29,91.04,19.46
aden,12,YE,1538345776,100,12.79,45.03,82.07,14.25
conceicao do araguaia,24,BR,1538345776,81,-8.26,-49.26,84.23,2.17
kankon,88,IN,1538345776,100,15.02,74.02,77.21,6.87
husavik,8,CA,1538345776,81,50.56,-96.99,40.58,8.43
strezhevoy,75,RU,1538343000,100,60.73,77.6,41.0,11.18
saldanha,0,PT,1538345777,45,41.42,-6.55,66.05,6.53
atambua,20,ID,1538345777,100,-9.11,124.89,73.25,9.78
kandiaro,0,PK,1538345777,56,27.06,68.21,71.9,3.18
gushi,32,CN,1538345777,83,32.17,115.65,51.29,2.51
verkhnyaya inta,44,RU,1538345777,89,65.99,60.32,32.12,4.74
sept-iles,90,CA,1538341200,87,50.2,-66.38,42.8,6.93
cabedelo,20,BR,1538341200,73,-6.97,-34.84,77.0,9.17
salta,20,AR,1538341200,27,-24.79,-65.41,93.2,11.41
lasa,56,CY,1538344800,78,34.92,32.53,78.8,2.24
wahiawa,75,US,1538341860,78,21.5,-158.02,87.08,8.05
yar-sale,0,RU,1538345778,100,66.83,70.83,36.44,11.12
kastamonu,56,TR,1538345778,97,41.38,33.78,49.85,2.51
newcastle,0,ZA,1538345504,51,-27.76,29.92,51.47,4.74
lac du bonnet,44,CA,1538345779,81,50.25,-96.06,40.4,8.32
iracoubo,0,GF,1538345779,60,5.48,-53.21,84.41,6.98
folldal,0,NO,1538345779,78,62.14,10.0,24.11,3.62
verkhoyansk,76,RU,1538345779,83,67.55,133.39,23.84,2.62
flinders,0,AU,1538341200,76,-34.58,150.85,51.8,8.05
san ramon,40,NI,1538341200,73,12.92,-85.84,77.0,9.17
bilibino,92,RU,1538345780,92,68.06,166.44,45.17,6.64
gilbues,64,BR,1538345780,16,-9.83,-45.34,97.37,6.64
talnakh,88,RU,1538345780,93,69.49,88.39,38.33,9.33
anzio,40,IT,1538344500,93,41.45,12.63,64.4,2.24
mehamn,75,NO,1538344200,81,71.03,27.85,42.8,13.87
kloulklubed,90,PW,1538340600,83,7.04,134.26,80.6,6.93
juxtlahuaca,8,MX,1538345781,48,17.43,-99.15,79.91,1.05
porosozero,76,RU,1538345781,99,62.72,32.71,43.73,8.55
bonthe,80,SL,1538345526,96,7.53,-12.5,76.85,3.96
gold coast,36,AU,1538344800,59,-28.0,153.41,64.4,16.11
constitucion,75,MX,1538340720,46,23.99,-104.67,73.4,4.7
cam ranh,92,VN,1538345782,100,11.92,109.15,74.33,5.19
waipawa,20,NZ,1538345629,60,-39.94,176.59,56.87,4.85
bissora,20,GW,1538344800,94,12.22,-15.45,77.0,3.36
tempio pausania,0,IT,1538344800,82,40.9,9.1,68.0,10.29
santa isabel do rio negro,80,BR,1538345503,66,-0.41,-65.02,87.83,3.51
papetoai,20,PF,1538344800,65,-17.5,-149.87,82.4,4.7
nemuro,92,JP,1538345783,91,43.32,145.57,63.35,13.35
bilma,0,NE,1538345783,15,18.69,12.92,85.13,10.45
zhezkazgan,24,KZ,1538345783,72,47.8,67.71,40.22,3.18
mahajanga,20,MG,1538345783,91,-15.72,46.32,78.74,5.41
pierre,90,US,1538344380,52,44.37,-100.35,53.06,11.41
kununurra,0,AU,1538344800,83,-15.77,128.74,69.8,8.1
makamba,64,BI,1538345783,53,-4.13,29.8,70.82,4.97
belorechensk,0,RU,1538343000,82,44.77,39.87,55.4,8.95
longyearbyen,75,NO,1538344200,79,78.22,15.63,21.2,5.82
oltedal,75,NO,1538344200,87,58.83,6.05,46.4,4.7
san fernando,75,CL,1538341200,71,-34.58,-70.99,53.6,8.05
liwale,12,TZ,1538345785,48,-9.8,37.92,76.67,7.43
kargasok,88,RU,1538345785,52,59.06,80.87,49.31,5.64
anadyr,75,RU,1538343000,93,64.73,177.51,48.2,20.13
champerico,40,MX,1538340300,55,16.38,-93.6,87.8,12.75
biritiba-mirim,75,BR,1538344800,94,-23.57,-46.04,73.4,5.82
iquitos,75,PE,1538341200,319,-3.75,-73.25,42.8,6.93
coihaique,40,CL,1538341200,48,-45.58,-72.07,44.6,6.93
paralimni,100,GR,1538345786,100,40.99,23.67,55.79,2.73
harwich,1,US,1538343300,52,41.69,-70.08,66.02,9.17
fershampenuaz,0,RU,1538345786,88,53.52,59.82,34.73,8.77
nome,1,US,1538344500,64,30.04,-94.42,82.04,3.36
laguna,75,MX,1538340180,46,27.52,-110.01,91.4,4.7
pimentel,32,BR,1538345787,76,-3.7,-45.5,81.98,3.18
boffa,56,GN,1538345787,95,10.18,-14.04,73.25,7.65
cap malheureux,40,MU,1538341200,88,-19.98,57.61,68.0,5.82
hauterive,90,FR,1538344800,58,46.09,3.45,57.2,5.82
mangrol,0,IN,1538345788,70,25.33,76.51,70.28,2.73
salekhard,0,RU,1538345788,87,66.54,66.62,28.88,9.1
smithers,5,CA,1538344800,33,54.78,-127.17,46.4,5.82
hambantota,68,LK,1538345513,100,6.12,81.12,78.2,7.2
dobsina,0,SK,1538344800,75,48.82,20.37,53.6,9.17
leticia,20,CO,1538344800,69,-4.21,-69.94,80.6,1.12
pisco,0,PE,1538341200,30,-13.71,-76.2,71.6,19.46
komsomolskiy,44,RU,1538345789,88,67.55,63.78,33.02,14.47
turbat,0,PK,1538345789,74,26.0,63.05,70.37,2.39
luga,92,RU,1538345789,98,58.74,29.85,48.77,9.44
ericeira,0,PT,1538344800,88,38.96,-9.42,66.2,9.17
samsun,75,TR,1538344200,88,41.29,36.33,68.0,6.76
nizwa,0,OM,1538345790,41,22.93,57.53,70.01,2.62
meulaboh,100,ID,1538345790,100,4.14,96.13,77.03,3.74
annapolis,40,US,1538344320,64,38.98,-76.49,75.56,9.17
serenje,44,ZM,1538345790,49,-13.23,30.22,68.57,17.05
port hawkesbury,1,CA,1538344800,81,45.62,-61.36,50.0,4.7
pachino,0,IT,1538340600,77,36.72,15.09,62.6,4.7
carinhanha,0,BR,1538345791,23,-14.3,-43.77,89.18,10.78
celestun,8,MX,1538345791,98,20.87,-90.4,84.5,15.93
rocha,92,UY,1538345791,99,-34.48,-54.34,64.16,6.64
broome,0,GB,1538344620,76,52.47,1.45,50.0,11.41
aripuana,20,BR,1538345792,68,-9.17,-60.63,86.93,2.39
karatau,0,KZ,1538345792,75,43.18,70.46,46.43,2.62
phan thiet,76,VN,1538345792,100,10.93,108.1,78.56,5.64
morondava,0,MG,1538345792,68,-20.3,44.28,78.2,13.47
hongjiang,0,CN,1538345792,88,27.21,109.83,53.63,2.06
jinzhou,68,CN,1538345792,86,41.11,121.12,51.65,15.14
amanganj,0,IN,1538345793,71,24.43,80.04,73.34,2.73
